name,city,address,latitude,longitude,place_id
CN Tower,Toronto,"290 Bremner Blvd, Toronto, ON M5V 3L9",43.6426,-79.3871,ChIJo4QiitY0K4gRUR56gCqdkTQ
Parliament Hill,Ottawa,"111 Wellington St, Ottawa, ON K1A 0A9",45.4235,-75.7000,ChIJ4-o7J_8EzkwR9gHl-eUU-YI
Museum London,London,"421 Ridout St N, London, ON N6A 5H4",42.9849,-81.2453,ChIJRXxN-vbxLogRhZrCFVTnmDw
Marina Park,Thunder Bay,"200 Sycamore St, Thunder Bay, ON P7E 6S2",48.3809,-89.2477,ChIJuXJSXoQfWU0RIIRj60UzHO0
Kingston City Hall,Kingston,"216 Ontario St, Kingston, ON K7L 2Z3",44.2312,-76.4860,ChIJS2p-Kfmq0kwRT09eQVVB8kQ
